,,,,,,
,,,,,,
,ANO,MÊS,Mêsn,ESTADO,COMPARECIMENTO,BOLSAS DE SANGUE
,2016,marco,3,CE,14446,10631
,2016,Abril,4,CE,13567,9989
,2016,Maio,5,CE,11989,8659
,2016,Junho,6,CE,13146,9705
,2016,Julho,7,CE,13015,9661
,2016,Agosto,8,CE,11480,8461
,2016,Setembro,9,CE,12909,9512
,2016,Outubro,10,CE,10959,8100
,2016,Novembro,11,CE,13210,9985
,2016,Dezembro,12,CE,10594,8022
,2016,Total,0,CE,149738,110459
,2017,Janeiro,1,CE,12725,9285
,2017,Fevereiro,2,CE,10597,7853
,2017,marco,3,CE,12154,9096
,2017,Abril,4,CE,10751,8048
,2017,Maio,5,CE,12250,9001
,2017,Junho,6,CE,12317,9009
,2017,Julho,7,CE,12834,9460
,2017,Agosto,8,CE,13099,9549
,2017,Total,0,CE,96727,71301
,2016,Janeiro,1,BSB,6986,5263
,2016,Fevereiro,2,BSB,5585,4252
,2016,marco,3,BSB,6004,4535
,2016,Abril,4,BSB,7089,5428
,2016,Maio,5,BSB,6173,4653
,2016,Junho,6,BSB,6742,5048
,2016,Julho,7,BSB,5948,4511
,2016,Agosto,8,BSB,6417,4747
,2016,Setembro,9,BSB,7034,5181
,2016,Outubro,10,BSB,5767,4510
,2016,Novembro,11,BSB,5803,4471
,2016,Dezembro,12,BSB,6838,5186
,2016,Total,0,BSB,76386,57785
,2017,Janeiro,1,BSB,6419,4518
,2017,Fevereiro,2,BSB,5953,4247
,2017,marco,3,BSB,6585,4764
,2017,Abril,4,BSB,6003,4386
,2017,Maio,5,BSB,6072,4602
,2017,Junho,6,BSB,7085,5229
,2017,Julho,7,BSB,5593,4139
,2017,Agosto,8,BSB,6025,4666
,2017,Total,0,BSB,49735,36551
,2016,Janeiro,1,PR,15913,13270
,2016,Fevereiro,2,PR,16541,13708
,2016,marco,3,PR,18735,15547
,2016,Abril,4,PR,17683,14257
,2016,Maio,5,PR,16440,13567
,2016,Junho,6,PR,20046,15381
,2016,Julho,7,PR,17108,14068
,2016,Agosto,8,PR,18471,14667
,2016,Setembro,9,PR,17326,13633
,2016,Outubro,10,PR,15808,12924
,2016,Novembro,11,PR,18799,14672
,2016,Dezembro,12,PR,17859,14083
,2016,Total,0,PR,210729,169777
,2017,Janeiro,1,PR,16034,12703
,2017,Fevereiro,2,PR,13909,11412
,2017,marco,3,PR,17935,14380
,2017,Abril,4,PR,13970,11237
,2017,Maio,5,PR,16274,13148
,2017,Junho,6,PR,18416,14768
,2017,Julho,7,PR,16662,13390
,2017,Agosto,8,PR,17610,14089
,2017,Total,0,PR,130810,105127
,2016,Janeiro,1,PB,7860,6217
,2016,Fevereiro,2,PB,8047,6238
,2016,marco,3,PB,9622,7257
,2016,Abril,4,PB,8399,6400
,2016,Maio,5,PB,8798,6333
,2016,Junho,6,PB,8348,6256
,2016,Julho,7,PB,8858,6598
,2016,Agosto,8,PB,8967,6607
,2016,Setembro,9,PB,8376,6313
,2016,Outubro,10,PB,8037,6073
,2016,Novembro,11,PB,8319,6344
,2016,Dezembro,12,PB,7338,5693
,2016,Total,0,PB,100969,76329
,2017,Janeiro,1,PB,8133,6604
,2017,Fevereiro,2,PB,7597,6169
,2017,marco,3,PB,9661,7639
,2017,Abril,4,PB,7665,6095
,2017,Maio,5,PB,9788,7525
,2017,Junho,6,PB,8536,6527
,2017,Julho,7,PB,9099,7133
,2017,Agosto,8,PB,9662,7575
,2017,Total,0,PB,70141,55267
,2016,Janeiro,1,SJRP,3319,2925
,2016,Fevereiro,2,SJRP,3038,2581
,2016,marco,3,SJRP,3201,2761
,2016,Abril,4,SJRP,3944,3300
,2016,Maio,5,SJRP,3543,2969
,2016,Junho,6,SJRP,3937,3305
,2016,Julho,7,SJRP,3473,3012
,2016,Agosto,8,SJRP,3014,2622
